ShopName
健身能量低卡餐盒
小輕庭健康餐盒
72度C舒肥健康餐 (台南文賢店)
勁請享用健康廚房 (台南崇德店)
綠蔬事務所
有麥點手作輕食餐盒 (台南民族店)
蕃茄村 (仁和店)
SKRABUR黑膠漢堡 (台南店)
Chill Burger 漢堡炸物宵夜專賣店
272早午餐廚房
漢堡大叔
圓起漢堡
朋友鹹酥雞
陳黃陳醬烤雞排
尚介讚香雞排 (中西民生店)
Q脆香港雞蛋仔 (南台旗艦店)
HERSTON海斯頓法式甜點 (台南概念店)
圓圈圈X奮起湖甜甜圈 (台南麻豆店)
88嫩仙草 (台南光明店)
甜甜屋現烤甜甜圈 (台南總店)
布嚕布嚕可麗餅 (台南永康店)
吃，厚奶酥
等等艾斯冰坊
綠豆田健康甜品專賣
九份礦工
津華火鍋料理
軒味坊麻辣鴨血臭豆腐
666skr匠味鍋物
品豪複合式餐飲
老四川巴蜀麻辣燙 (台南安平店)
阿家牛肉火鍋/牛肉湯
老城門佰元鍋物-平價火鍋推薦
禾意鍋燒、火鍋
順源石頭火鍋
首爾奶奶韓式料理
鮮の味麵館 (台南仁德店)
亞家鱔魚意麵
小品屋鍋燒麵 (台南海佃店)
酒鬍子創意鍋燒 (台南大橋店)
金虎麵食館
上發意麵
68排骨拉麵
究饗
吸粉堂過橋米粉 (台南安平店)
很餃舍麵食館 (台南裕農店)
